source_table,source_path,row_order,project_id,Project Name,Contract No,Employer,Contractor,Consultant,Baseline Name,Impacted Update Name,Data Date,Prepared By,Report Revision,Report Date,Delay Category,Primary Cause Family,Primary Claim Position,project_key,project_name,contract_number,employer,contractor,consultant,baseline_schedule_name,baseline_data_date,impacted_update_name,impacted_data_date,analysis_data_date,prepared_by,report_revision,report_date,calendar_name,contract_time_unit,project_finish_milestone_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path,source_id,source_role,source_file_name,source_relative_path,source_sha256,file_date,received_date,source_owner,source_status,notes,Coding No.,Supplier,Total Quantity,Date of delivery,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence,event_id,event_variant,event_name,event_category,responsible_party,notice_status,event_start,event_finish,claimed_delay_days,affected_activity_id,evidence_reference,causation_status,criticality_status,inclusion_in_integrated_eot,analyst_status,fragnet_activity_id,fragnet_activity_name,activity_type,original_duration_days,fragnet_start,fragnet_finish,data_date,activity_id,milestone_activity_name,before_total_float_days,before_forecast_finish,after_total_float_days,after_forecast_finish,float_change_days,finish_movement_calendar_days,impact_assessment,verification_status,Unnamed: 4,overlap_id,contractor_event_id,employer_event_id,overlap_start,overlap_finish,overlap_calendar_days,concurrent_delay_days,apportionment_method,concurrency_adjustment_days,included_in_adjustment,entitlement_position,Primary Event ID,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,Concurrent delay,WBS,Building / Zone,Total Float,Longest Path,First Affected Flag,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,evidence_id,evidence_type,document_date,time_bar_status,compensation_status,entitlement_status,Dia,RFT for RC Raft & Footings (B03) (footing) 196,RFT for RC Raft (B04) (Water Tank) 45.81,RFT for RC Raft & Footings (B02) (footing) 155.5,RFT for Columns & Walls Below SOG (B03) (footing),RFT for Columns & Walls Below SOG (B02) (footing),RFT for RC Raft & Footings (B01) (footing),RFT for Columns & Walls Below SOG (B01) (footing),"RFT for Walls, Col. & Cores (B03) (Bas 02)",RFT for Walls (B04) (Water Tank),RFT for RC Raft & Footings (B04) (footing) 192,RFT for Columns & Walls Below SOG (B04) (footing),"RFT for Walls, Col. & Cores (B02) (Bas 02)",1-Oct-25,1-Dec-25,1-Feb-26,1-May-26,scenario_id,scenario_name,status_date,baseline_progress_percent,impacted_progress_percent,recovery_progress_percent,baseline_finish,impacted_finish,recovery_finish,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,p6_update_reference,source_file,source_sheet,source_row,release_id,release_status,approval_status,baseline_project_finish,impacted_project_finish,gross_included_event_movement_days,integrated_eot_calendar_days,approved_matrix_reference,source_manifest_reference,approval_reference,approved_by,approved_date,reconciliation_id,issue_type,issue_description,historical_value,active_position,resolution_required,owner,status,artifact_id,artifact_type,artifact_title,output_filename,source_project_id,source_report_fingerprint,generated_at,review_status,publication_status
11-concurrency_matrix_template.updated,02-delay_analysis/unified_tia_csv/11-concurrency_matrix_template.updated.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-VS-RFT-1080,RFT for Pump room slab RFT (Vent-Shaft),,,,8-Jan-26,20-Jan-26,13-Feb-26,30-Mar-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late payment certification affecting recovery,-69,13-Feb-26,30-Mar-26,Yes,Yes,55,14,Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Vent.Shaft,Vent-Shaft,0,Yes,No,CON-ST-VS-FORM-1070,FS,0,CON-ST-VS-CONC-1100,FS,0,13-Feb-26,30-Mar-26,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-concurrency_matrix_template.updated,02-delay_analysis/unified_tia_csv/11-concurrency_matrix_template.updated.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PR-RFT-1090,RFT for Tunnel approach retaining wall RFT (Pump-Room),,,,23-Jan-26,4-Feb-26,28-Feb-26,7-Apr-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delay in steel supply by client,-62,28-Feb-26,7-Apr-26,No,No,48,14,Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Pump.Room,Pump-Room,-12,No,No,CON-ST-PR-FORM-1080,FS,0,CON-ST-PR-CONC-1110,FS,0,28-Feb-26,7-Apr-26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.78,0.97,3.3,2.76,2.97,3.84,6.3,2.61,1.16,1.61,0.49,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.67,16.38,14.02,4.23,14.34,0.55,11.65,8.87,6.92,11.54,7.51,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24.93,12.65,6.51,18.83,21.65,24.13,22.22,11.65,10.83,19.61,3.93,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17.25,25.37,9.49,1.84,8.82,29.13,26.56,15.11,21.67,15.44,18.13,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,32.88,22.18,4.84,12.62,7.97,32.76,2.81,13.81,22.08,30.13,5.97,13.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,6,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20.57,10.59,10.3,7.88,5.78,1.78,9.39,1.65,5.9,5.53,12.64,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-client_steel_demand_by_dia_wide,02-delay_analysis/unified_tia_csv/12-client_steel_demand_by_dia_wide.csv,7,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1.19,14.13,5.03,0.13,12.3,3.98,14.79,7.23,4.85,4.03,5.11,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,35.23,16.47,30.09,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,62.8,57.68,46.25,58.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,5.39,10.45,57.59,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,9.53,6.43,29.42,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,11.12,46.87,31.82,27.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-client_steel_supply_by_dia_wide,02-delay_analysis/unified_tia_csv/13-client_steel_supply_by_dia_wide.csv,6,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,26.17,31.41,4.36,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
